,geo_value,signal,time_value,issue,lag,value,stderr,sample_size,geo_type,data_source
0,ca,pcr_specimen_positivity_rate,2020-03-01,2021-05-03,428,0.239992,0.060398,50.0,state,covid-act-now
1,ct,pcr_specimen_positivity_rate,2020-03-01,2021-05-03,428,0.0,0.0,2.0,state,covid-act-now
2,fl,pcr_specimen_positivity_rate,2020-03-01,2021-05-03,428,0.0,0.0,15.0,state,covid-act-now
3,ga,pcr_specimen_positivity_rate,2020-03-01,2021-05-03,428,0.0,0.0,1.0,state,covid-act-now
4,ny,pcr_specimen_positivity_rate,2020-03-01,2021-05-03,428,0.25,0.2165064,4.0,state,covid-act-now
5,oh,pcr_specimen_positivity_rate,2020-03-01,2021-05-03,428,0.0854,0.0014344,37964.0,state,covid-act-now
6,or,pcr_specimen_positivity_rate,2020-03-01,2021-05-03,428,0.1538385,0.0707575,26.0,state,covid-act-now
7,sc,pcr_specimen_positivity_rate,2020-03-01,2021-05-03,428,0.0,0.0,2.0,state,covid-act-now
8,wa,pcr_specimen_positivity_rate,2020-03-01,2021-05-03,428,0.5416812,0.0719176,48.0,state,covid-act-now
9,az,pcr_specimen_positivity_rate,2020-03-02,2021-04-30,424,1.0,0.0,11.0,state,covid-act-now
10,ca,pcr_specimen_positivity_rate,2020-03-02,2021-04-30,424,0.2009784,0.0388311,106.5,state,covid-act-now
11,ct,pcr_specimen_positivity_rate,2020-03-02,2021-04-30,424,0.0,0.0,3.0,state,covid-act-now
12,de,pcr_specimen_positivity_rate,2020-03-02,2021-04-30,424,0.0,0.0,2.0,state,covid-act-now
13,fl,pcr_specimen_positivity_rate,2020-03-02,2021-04-30,424,0.0545455,0.0306209,55.0,state,covid-act-now
14,ga,pcr_specimen_positivity_rate,2020-03-02,2021-04-30,424,0.2857143,0.2414726,3.5,state,covid-act-now
15,hi,pcr_specimen_positivity_rate,2020-03-02,2021-04-30,424,0.0,0.0,1.0,state,covid-act-now
16,id,pcr_specimen_positivity_rate,2020-03-02,2021-04-30,424,0.0,0.0,2.0,state,covid-act-now
17,il,pcr_specimen_positivity_rate,2020-03-02,2021-04-30,424,0.0,0.0,3.0,state,covid-act-now
18,in,pcr_specimen_positivity_rate,2020-03-02,2021-04-30,424,0.0,0.0,6.0,state,covid-act-now
19,ky,pcr_specimen_positivity_rate,2020-03-02,2021-04-30,424,0.0,0.0,2.0,state,covid-act-now
20,mo,pcr_specimen_positivity_rate,2020-03-02,2021-04-30,424,0.0,0.0,4.0,state,covid-act-now
21,ms,pcr_specimen_positivity_rate,2020-03-02,2021-04-30,424,0.0,0.0,1.0,state,covid-act-now
22,nc,pcr_specimen_positivity_rate,2020-03-02,2021-04-30,424,0.0,0.0,1.0,state,covid-act-now
23,ne,pcr_specimen_positivity_rate,2020-03-02,2021-04-30,424,0.2916208,0.0535644,72.0,state,covid-act-now
24,nj,pcr_specimen_positivity_rate,2020-03-02,2021-04-30,424,0.0,0.0,1.0,state,covid-act-now
25,nv,pcr_specimen_positivity_rate,2020-03-02,2021-04-30,424,0.0,0.0,11.0,state,covid-act-now
26,ny,pcr_specimen_positivity_rate,2020-03-02,2021-04-30,424,0.7222222,0.1493011,9.0,state,covid-act-now
27,oh,pcr_specimen_positivity_rate,2020-03-02,2021-04-30,424,0.0854,0.0020285,18982.0,state,covid-act-now
28,or,pcr_specimen_positivity_rate,2020-03-02,2021-08-13,529,0.0467445,0.0284635,55.0,state,covid-act-now
29,pa,pcr_specimen_positivity_rate,2020-03-02,2021-04-30,424,0.0,0.0,9.0,state,covid-act-now
30,sc,pcr_specimen_positivity_rate,2020-03-02,2021-04-30,424,0.0,0.0,1.0,state,covid-act-now
31,tx,pcr_specimen_positivity_rate,2020-03-02,2021-04-30,424,0.0,0.0,2.0,state,covid-act-now
32,wa,pcr_specimen_positivity_rate,2020-03-02,2021-04-30,424,0.4085313,0.0656878,56.0,state,covid-act-now
