time_value,Australian Capital Territory,New South Wales,Northern Territory,Queensland,South Australia,Tasmania,Victoria,Western Australia
2020-04-01,4,150,2,38,30,0,51,28
2020-04-02,3,116,2,54,0,3,68,8
2020-04-03,4,91,1,38,29,2,49,0
2020-04-04,2,104,4,27,11,6,30,36
2020-04-05,3,87,1,7,0,2,20,17
2020-04-06,0,57,1,14,4,4,23,7
2020-04-07,0,49,0,13,0,3,33,0
2020-04-08,3,48,0,9,4,9,21,21
2020-04-09,1,39,0,10,5,13,16,14
2020-04-10,3,49,0,12,8,11,13,11
2020-04-11,0,35,0,9,1,11,24,8
2020-04-12,0,0,0,9,0,0,3,0
2020-04-13,0,6,0,4,0,11,13,3
2020-04-14,1,7,0,11,4,21,10,10
2020-04-15,0,16,0,1,0,0,8,0
2020-04-16,0,11,0,2,0,4,0,5
2020-04-17,0,29,0,6,2,11,3,9
2020-04-18,0,10,0,8,0,8,17,3
2020-04-19,0,21,0,4,0,7,9,1
2020-04-20,1,6,0,0,0,5,1,0
2020-04-21,0,6,0,5,2,1,7,1
2020-04-22,0,2,0,0,1,4,0,0
2020-04-23,0,5,0,2,0,2,1,0
2020-04-24,1,6,0,0,0,0,6,2
2020-04-25,1,12,0,0,0,0,3,1
2020-04-26,0,8,0,4,0,5,3,0
2020-04-27,0,2,0,3,0,2,0,0
2020-04-28,0,12,0,1,0,4,5,1
2020-04-29,0,0,0,0,0,1,7,1
2020-04-30,0,9,0,0,0,2,3,0
2020-05-01,0,5,0,1,0,0,7,0
2020-05-02,0,5,2,1,0,0,13,0
2020-05-03,0,0,0,3,0,0,22,0
2020-05-04,1,2,0,5,0,0,17,0
2020-05-05,0,7,0,0,0,4,17,0
2020-05-06,0,2,0,2,0,1,14,0
2020-05-07,0,3,0,0,1,1,13,1
2020-05-08,0,4,0,0,0,0,1,0
2020-05-09,0,2,0,0,0,0,19,0
2020-05-10,0,0,0,0,0,0,9,0
2020-05-11,0,0,0,6,0,0,15,1
2020-05-12,0,6,0,1,0,0,3,0
2020-05-13,0,4,0,0,0,0,7,0
2020-05-14,0,8,0,3,0,0,19,0
2020-05-15,0,3,0,1,0,1,11,0
2020-05-16,0,1,0,0,0,0,7,1
2020-05-17,0,1,0,2,0,0,6,1
2020-05-18,0,2,0,0,0,0,9,3
2020-05-19,0,3,0,1,0,0,0,0
2020-05-20,0,1,0,0,0,0,8,0
2020-05-21,0,2,0,0,0,0,12,0
2020-05-22,0,2,0,2,0,0,0,0
2020-05-23,0,1,0,1,0,0,10,3
2020-05-24,0,3,0,0,0,0,2,0
2020-05-25,0,2,0,1,0,0,5,4
2020-05-26,0,0,0,1,1,0,8,6
2020-05-27,0,1,0,0,0,0,10,0
2020-05-28,0,2,0,0,0,0,6,7
2020-05-29,0,0,0,0,0,0,11,8
2020-05-30,0,3,0,0,0,0,4,1
2020-05-31,0,3,0,0,0,0,4,3
2020-06-01,0,6,0,1,0,0,10,2
2020-06-02,0,0,0,0,0,0,7,1
2020-06-03,0,2,0,1,0,0,8,0
2020-06-04,0,4,0,0,0,0,3,0
2020-06-05,0,0,0,1,0,0,0,4
2020-06-06,1,0,0,0,0,0,4,3
2020-06-07,0,3,0,1,0,0,2,0
2020-06-08,0,2,0,0,0,0,0,0
2020-06-09,0,3,0,0,0,0,4,0
2020-06-10,0,0,0,1,0,0,8,2
2020-06-11,0,0,0,1,0,0,4,1
2020-06-12,0,4,0,1,0,0,0,0
2020-06-13,0,9,0,0,0,0,17,0
2020-06-14,0,3,0,0,0,0,12,0
2020-06-15,0,3,0,0,0,0,9,0
2020-06-16,0,1,0,1,0,0,21,0
2020-06-17,0,2,0,0,0,0,18,1
2020-06-18,0,6,0,0,0,0,12,0
2020-06-19,0,1,0,0,0,0,0,1
2020-06-20,0,5,0,0,0,0,44,1
2020-06-21,0,2,0,0,0,0,11,0
2020-06-22,0,0,0,0,0,0,17,2
2020-06-23,0,9,0,0,0,0,20,0
2020-06-24,0,3,0,0,0,0,33,1
2020-06-25,0,6,0,1,0,0,30,0
2020-06-26,0,6,0,0,0,0,0,0
2020-06-27,0,3,0,0,0,0,81,1
2020-06-28,0,7,0,0,0,0,71,0
2020-06-29,0,5,0,0,3,0,60,2
2020-06-30,0,14,0,0,0,0,72,0
2020-07-01,0,8,1,0,0,0,72,0
2020-07-02,0,0,0,0,0,0,65,0
2020-07-03,0,194,0,0,0,0,0,0
2020-07-04,0,14,0,0,0,0,168,1
2020-07-05,0,10,0,0,0,0,124,6
2020-07-06,0,4,0,1,0,0,164,3
2020-07-07,3,7,0,0,0,0,118,3
2020-07-08,1,13,0,0,0,0,156,0
2020-07-09,1,14,1,0,0,0,299,3
2020-07-10,0,7,0,2,0,0,163,7
2020-07-11,0,4,0,0,0,0,239,1
2020-07-12,0,14,0,1,0,0,168,0
2020-07-13,0,13,0,0,0,0,257,1
2020-07-14,0,12,0,0,0,0,224,0
2020-07-15,0,10,0,0,1,0,302,10
2020-07-16,0,8,0,0,0,0,415,0
2020-07-17,0,15,0,0,0,0,188,5
2020-07-18,0,18,0,0,0,0,343,0
