time_value,Alberta,British Columbia,Manitoba,New Brunswick,Newfoundland and Labrador,Northwest Territories,Nova Scotia,Nunavut,Ontario,Prince Edward Island,Quebec,Saskatchewan,Yukon
2020-04-01,64,0,24,11,23,1,26,0,457,0,697,9,0
2020-04-02,215,108,40,10,8,0,20,0,428,1,875,13,1
2020-04-03,0,53,15,0,0,2,14,0,464,0,770,14,0
2020-04-04,106,29,0,0,12,0,29,0,343,0,806,11,0
2020-04-05,106,0,21,7,22,0,26,0,355,0,634,18,0
2020-04-06,69,63,0,5,9,1,31,0,444,0,875,4,0
2020-04-07,123,0,14,2,2,0,17,0,434,0,788,7,1
2020-04-08,0,25,0,0,4,0,32,0,475,3,686,11,0
2020-04-09,50,45,4,3,4,0,31,0,488,0,748,7,0
2020-04-10,28,34,9,4,3,0,34,0,389,0,635,7,1
2020-04-11,116,75,13,0,2,0,21,0,480,0,665,4,0
2020-04-12,0,0,0,2,1,0,17,0,524,0,790,9,0
2020-04-13,165,45,4,2,2,0,29,0,584,0,964,2,0
2020-04-14,138,0,0,0,0,0,43,0,545,0,962,1,0
2020-04-15,0,27,0,1,3,0,32,0,582,1,1098,3,0
2020-04-16,126,44,4,0,5,0,30,0,592,0,964,1,0
2020-04-17,401,14,0,0,4,0,27,0,656,0,1022,2,0
2020-04-18,165,43,3,0,0,0,43,0,602,0,663,6,1
2020-04-19,241,29,1,1,0,0,26,0,580,0,820,2,0
2020-04-20,105,0,0,0,0,0,46,0,649,0,909,1,2
2020-04-21,187,77,1,0,0,0,16,0,499,0,806,4,0
2020-04-22,306,71,2,0,0,0,35,0,541,0,885,6,0
2020-04-23,319,29,5,0,0,0,55,0,490,0,906,5,0
2020-04-24,297,29,1,0,0,0,23,0,425,0,855,10,0
2020-04-25,216,95,4,0,1,0,15,0,481,0,762,8,0
2020-04-26,247,0,4,0,1,0,8,0,335,0,612,4,0
2020-04-27,216,50,2,0,0,0,27,0,439,0,910,12,0
2020-04-28,154,55,0,0,0,0,15,0,377,1,920,1,0
2020-04-29,315,34,2,0,0,0,20,0,403,0,898,17,0
2020-04-30,190,25,2,0,0,0,12,0,401,0,1003,6,0
2020-05-01,218,33,4,0,1,0,12,0,463,0,1053,26,0
2020-05-02,97,26,1,0,0,0,4,0,323,0,899,6,0
2020-05-03,96,0,0,0,0,0,8,0,352,0,791,12,0
2020-05-04,70,53,1,0,0,0,14,0,339,0,865,34,0
2020-05-05,57,8,1,1,0,0,6,0,409,0,893,20,0
2020-05-06,70,23,2,1,0,0,7,0,355,0,1033,25,0
2020-05-07,54,33,0,0,1,0,9,0,307,0,851,19,0
2020-05-08,81,27,1,0,0,0,1,0,299,0,778,13,0
2020-05-09,59,15,0,0,0,0,3,0,308,0,752,9,0
2020-05-10,96,0,3,0,0,0,7,0,268,0,653,11,0
2020-05-11,47,23,2,0,0,0,1,0,222,0,725,4,0
2020-05-12,45,7,1,0,0,0,1,0,261,0,797,5,0
2020-05-13,62,16,0,0,0,0,4,0,361,0,780,4,0
2020-05-14,50,16,0,0,0,0,2,0,338,0,700,5,0
2020-05-15,58,15,0,0,0,0,8,0,400,0,782,8,0
2020-05-16,72,21,0,0,0,0,3,0,362,0,696,1,0
2020-05-17,57,0,0,0,0,0,3,0,416,0,731,1,0
2020-05-18,39,16,1,0,0,0,3,0,357,0,670,0,0
2020-05-19,33,2,0,0,0,0,1,0,321,0,638,7,0
2020-05-20,19,21,0,0,0,0,1,0,393,0,801,21,0
2020-05-21,33,12,0,1,0,0,1,0,351,0,715,2,0
2020-05-22,32,28,2,0,0,0,2,0,416,0,605,5,0
2020-05-23,18,10,0,0,0,0,1,0,373,0,502,3,0
2020-05-24,42,0,0,0,0,0,1,0,364,0,544,2,0
2020-05-25,19,13,0,0,0,0,1,0,421,0,508,2,0
2020-05-26,22,11,0,1,0,0,1,0,284,0,448,0,0
2020-05-27,25,9,0,1,0,0,1,0,326,0,520,3,0
2020-05-28,29,8,2,3,1,0,2,0,325,0,415,2,0
2020-05-29,24,4,0,2,0,0,0,0,614,0,423,2,0
2020-05-30,13,11,0,1,0,0,1,0,334,0,398,4,0
2020-05-31,18,0,1,3,0,0,0,0,414,0,293,1,0
2020-06-01,34,24,0,0,0,0,1,0,409,0,328,0,0
2020-06-02,13,4,2,1,0,0,0,0,380,0,228,0,0
2020-06-03,19,22,1,2,0,0,1,0,359,0,277,1,0
2020-06-04,15,9,0,1,0,0,0,0,300,0,256,1,0
2020-06-05,7,0,2,0,0,0,0,0,274,0,243,1,0
2020-06-06,40,0,0,0,0,0,0,0,237,0,246,1,0
2020-06-07,0,0,0,1,0,0,1,0,221,0,189,0,0
2020-06-08,64,27,0,9,0,0,0,0,229,0,118,4,0
2020-06-09,27,10,0,1,0,0,1,0,228,0,165,2,0
2020-06-10,47,11,0,4,0,0,1,0,253,0,172,2,0
2020-06-11,40,14,0,2,0,0,0,0,200,0,154,2,0
2020-06-12,30,15,1,1,0,0,0,0,236,0,175,3,0
2020-06-13,37,0,2,3,0,0,0,0,177,0,121,1,0
2020-06-14,50,0,1,0,0,0,0,0,156,0,94,1,0
2020-06-15,20,36,0,3,0,0,0,0,188,0,112,18,0
2020-06-16,29,11,0,3,0,0,0,0,181,0,134,1,0
2020-06-17,48,19,2,1,0,0,0,0,188,0,121,9,0
2020-06-18,49,8,2,0,0,0,0,0,197,0,135,15,0
2020-06-19,46,7,3,0,0,0,0,0,191,0,133,8,0
2020-06-20,48,0,2,0,0,0,0,0,160,0,95,10,0
2020-06-21,31,0,0,0,0,0,0,0,176,0,81,20,0
2020-06-22,32,32,1,0,0,0,0,0,200,0,85,5,0
2020-06-23,45,13,0,1,0,0,0,0,163,0,94,2,0
2020-06-24,44,14,1,0,0,0,0,0,168,0,89,4,0
2020-06-25,26,20,1,0,0,0,0,0,155,0,90,2,0
2020-06-26,37,9,2,0,0,0,0,0,181,0,85,13,0
2020-06-27,69,0,4,0,0,0,0,0,236,0,88,5,0
2020-06-28,39,0,0,0,0,0,0,0,215,0,58,1,0
2020-06-29,71,26,2,0,0,0,0,0,138,0,58,1,0
2020-06-30,41,12,1,0,0,0,1,0,175,0,98,6,0
2020-07-01,0,0,0,0,0,0,0,0,149,0,73,0,0
2020-07-02,94,24,0,0,0,0,2,0,149,0,70,10,0
