time_value,AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY
2020-04-01,13,112,61,124,1254,4655,429,91,49,215,709,20,50,51,986,406,51,4,1187,1339,326,0,1766,60,250,136,10,277,37,38,10,3559,12,165,14524,348,153,46,987,78,210,21,234,0,0,234,28,176,144,29,21
2020-04-02,8,196,59,183,1499,361,267,67,25,2052,710,32,67,210,715,474,68,138,2725,1279,345,73,1513,53,216,104,33,238,14,36,112,3335,46,184,10403,354,160,90,1133,79,261,36,270,537,198,223,17,781,192,25,20
2020-04-03,11,235,61,173,1324,440,1090,104,57,1260,483,63,85,115,1209,399,76,0,1148,1486,427,56,1991,46,137,181,2,287,13,33,0,4305,117,51,10675,411,109,73,1400,66,146,22,252,500,162,306,51,457,264,21,12
2020-04-04,11,121,39,250,746,320,362,145,143,1269,329,32,88,131,1453,516,69,147,2199,1163,367,24,1514,77,352,97,22,255,21,42,61,4229,16,228,10250,427,171,0,1709,95,217,25,201,547,180,395,72,401,18,45,25
2020-04-05,15,178,94,250,1655,295,399,100,80,813,487,20,82,56,902,458,53,38,514,981,492,14,1533,70,89,183,21,256,18,43,81,3381,118,113,10995,304,93,169,1413,116,132,28,312,287,173,233,51,578,290,42,10
2020-04-06,6,174,38,191,1510,442,1231,95,110,974,667,16,77,23,1003,545,98,0,1857,1931,428,29,1552,51,429,100,13,262,12,53,94,3585,62,98,9861,410,75,0,1499,160,183,48,228,738,77,238,31,486,129,21,13
2020-04-07,22,229,71,115,1097,360,875,114,145,1221,1508,23,100,69,1291,554,63,194,1417,2024,326,20,1824,83,296,177,20,300,14,30,0,3326,108,171,7413,329,145,64,1531,147,185,32,306,606,61,457,32,381,129,67,6
2020-04-08,13,306,54,151,1480,407,0,229,188,911,1079,0,99,40,1525,433,134,0,746,1863,1158,18,1432,85,182,88,13,247,18,72,32,3021,27,135,10211,366,52,49,1801,221,0,72,205,790,109,310,30,584,132,71,5
2020-04-09,10,340,119,292,960,414,2003,83,93,908,665,32,125,22,1344,408,70,192,1253,1987,656,23,1221,86,227,257,22,293,9,49,72,3590,44,197,12071,364,160,140,2024,277,376,54,279,590,8,397,23,363,176,31,9
2020-04-10,11,158,52,94,1216,451,754,137,117,1167,919,0,118,122,1465,556,1,352,970,2060,783,26,982,96,397,209,11,237,15,67,0,3561,216,266,11473,366,108,1,1843,0,274,89,195,935,247,467,51,480,182,60,9
2020-04-11,12,234,57,281,709,366,972,118,153,963,674,23,122,42,1293,528,158,0,761,1301,726,30,1221,91,207,173,12,305,15,64,66,3563,10,0,8533,372,74,49,1735,622,144,90,292,520,104,568,32,315,145,3,22
2020-04-12,15,321,52,149,743,344,525,97,146,1401,293,34,77,11,1672,493,69,270,581,933,531,17,683,194,108,139,10,304,23,92,44,3699,154,134,8373,354,102,156,1181,316,109,104,225,214,96,197,16,175,128,16,9
2020-04-13,5,203,130,163,1202,485,1346,80,133,1124,863,5,123,19,1173,431,46,55,421,2023,711,65,1048,0,195,161,7,185,10,23,56,2734,17,154,7853,371,99,57,1286,0,71,138,216,664,60,473,21,26,87,18,5
2020-04-14,8,171,88,104,1138,428,608,103,168,609,1263,7,189,38,1223,168,51,30,502,2879,536,37,1359,74,173,145,5,171,23,83,0,4240,83,144,7471,310,115,49,1107,586,162,120,182,729,54,435,4,164,127,29,7
2020-04-15,8,266,71,155,1812,484,766,139,88,883,409,13,96,9,1345,433,63,162,433,2605,560,35,1046,114,138,273,5,289,28,4,217,2206,139,77,6658,509,79,30,1229,0,103,180,263,674,131,318,7,143,166,62,5
2020-04-16,8,158,51,273,1222,365,1129,153,56,832,682,6,146,114,1141,582,111,225,581,2392,752,26,822,0,306,264,11,393,46,51,0,4287,0,3,7889,620,94,73,1192,278,275,143,290,663,135,389,15,115,154,26,9
2020-04-17,9,92,75,274,1718,446,925,126,247,1416,1525,11,191,22,1844,612,115,87,586,2998,788,31,1209,261,220,169,7,294,90,114,148,3150,113,310,6986,693,108,49,1822,648,168,100,320,586,110,602,5,460,178,47,9
2020-04-18,5,231,49,213,1346,352,741,190,221,733,475,33,181,46,1582,487,91,185,462,1489,754,20,769,139,188,181,4,353,56,183,55,2953,201,102,6877,1115,0,59,1816,314,149,131,173,389,124,562,24,259,146,10,4
2020-04-19,5,190,37,209,665,296,412,127,0,822,632,6,389,13,1197,570,84,253,348,1093,521,20,645,147,136,300,7,294,42,225,48,3881,47,102,6644,1380,102,66,1267,215,129,93,277,272,152,489,10,202,147,105,4
2020-04-20,2,185,192,135,2255,569,1853,134,207,745,1106,4,257,4,1156,477,143,90,595,2692,837,8,627,114,163,238,0,215,18,174,57,3421,126,102,6386,1317,113,47,895,384,69,50,250,901,144,448,3,136,153,12,4
2020-04-21,8,241,17,188,2191,609,545,171,186,810,474,2,482,64,1546,409,116,154,331,2195,509,13,668,97,229,204,4,298,34,37,43,3665,0,107,4633,806,127,47,1244,410,0,70,288,700,84,640,2,278,126,6,126
2020-04-22,6,288,286,217,1995,483,2109,108,269,440,1333,6,107,30,2048,341,167,174,404,2711,582,19,1316,155,204,178,2,397,32,128,98,3527,239,144,4259,392,87,55,1343,341,322,103,499,780,148,636,5,204,220,31,4
2020-04-23,2,207,323,299,1848,472,631,155,108,1339,669,4,176,70,1830,601,390,101,481,2407,962,30,1328,220,271,259,3,472,38,389,82,4111,169,127,5497,577,123,68,1854,415,156,98,452,857,167,732,2,157,207,42,6
2020-04-24,2,193,211,273,1870,510,836,167,134,885,608,5,521,34,2721,642,238,300,401,2284,879,28,1269,243,235,281,2,434,56,222,50,2171,142,190,6668,475,104,50,1641,443,153,84,468,759,170,596,2,224,304,29,20
2020-04-25,0,182,101,241,966,389,647,171,134,306,731,4,647,17,2119,718,176,136,372,1498,1150,0,400,261,164,284,1,295,64,295,77,3302,139,141,9442,418,73,76,1545,430,183,107,301,621,166,772,16,342,331,0,18
